#At time x allocated y bytes for process z from i to j
At time 1 allocated 200 bytes for process 1 from 0 to 255
At time 1 allocated 200 bytes for process 2 from 256 to 511
At time 1 allocated 200 bytes for process 3 from 512 to 767
At time 1 allocated 200 bytes for process 4 from 768 to 1023
At time 7 freed 256 bytes from process 2 from 256 to 511
At time 7 allocated 200 bytes for process 7 from 256 to 511
At time 13 freed 256 bytes from process 7 from 256 to 511
At time 13 allocated 200 bytes for process 6 from 256 to 511
At time 18 freed 256 bytes from process 6 from 256 to 511
At time 18 allocated 200 bytes for process 5 from 256 to 511
At time 23 freed 256 bytes from process 5 from 256 to 511
At time 27 freed 256 bytes from process 3 from 512 to 767
At time 33 freed 256 bytes from process 1 from 0 to 255
At time 36 freed 256 bytes from process 4 from 768 to 1023
